1991-01-14, 1441.00
1991-01-15, 1457.00
1991-01-16, 1457.00
1991-01-17, 1560.00
1991-01-18, 1560.00
1991-01-21, 1553.00
1991-01-22, 1548.00
1991-01-23, 1522.00
1991-01-24, 1553.00
1991-01-25, 1563.00
1991-01-28, 1565.00
1991-01-29, 1554.00
1991-01-30, 1582.00
1991-01-31, 1580.00
1991-02-01, 1578.00
1991-02-04, 1581.00
1991-02-05, 1606.00
1991-02-06, 1598.00
1991-02-07, 1598.00
1991-02-08, 1622.00
1991-02-11, 1637.00
1991-02-12, 1626.00
1991-02-13, 1636.00
1991-02-14, 1652.00
1991-02-15, 1670.00
1991-02-18, 1695.00
1991-02-19, 1701.00
1991-02-20, 1693.00
1991-02-21, 1710.00
1991-02-22, 1717.00
1991-02-25, 1745.00
1991-02-26, 1712.00
1991-02-27, 1731.00
1991-02-28, 1760.00
1991-03-01, 1747.00
1991-03-04, 1766.00
1991-03-05, 1800.00
1991-03-06, 1821.00
1991-03-07, 1832.00
1991-03-08, 1828.00
1991-03-11, 1797.00
1991-03-12, 1795.00
1991-03-13, 1781.00
1991-03-14, 1816.00
1991-03-15, 1800.00
1991-03-18, 1778.00
1991-03-19, 1741.00
1991-03-20, 1752.00
1991-03-21, 1771.00
1991-03-22, 1772.00
1991-03-25, 1773.00
1991-03-26, 1775.00
1991-03-27, 1797.00
1991-03-28, 1816.00
1991-04-02, 1827.00
1991-04-03, 1852.00
1991-04-04, 1836.00
1991-04-05, 1852.00
1991-04-08, 1847.00
1991-04-09, 1846.00
1991-04-10, 1817.00
1991-04-11, 1825.00
1991-04-12, 1821.00
1991-04-15, 1822.00
1991-04-16, 1803.00
1991-04-17, 1829.00
1991-04-18, 1816.00
1991-04-19, 1791.00
1991-04-22, 1767.00
1991-04-23, 1782.00
1991-04-24, 1782.00
1991-04-25, 1777.00
1991-04-26, 1774.00
1991-04-29, 1797.00
1991-04-30, 1779.00
1991-05-02, 1824.00
1991-05-03, 1832.00
1991-05-06, 1828.00
1991-05-07, 1830.00
1991-05-10, 1850.30
